asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd,fold
ADA,2025-02-25 08:00:00+00:00,0.6601,1.0,0.745794815964868,0.6271203156267001,7563.9817865548885,1.0,0.76009202003479,0.76009202003479,False,2.6,2025-03-02 12:00:00+00:00,True,0.695,0.68702835,2025-02-25 20:00:00+00:00,0.68702835,trailing_sl_hit,298.7345390872269,3
TRX,2025-02-25 08:00:00+00:00,0.2313,1.0,0.2456676107243631,0.22577061923696537,7563.9817865548885,1.0,0.7896480560302734,0.7896480560302734,False,2.6,2025-03-02 12:00:00+00:00,False,,,2025-02-26 16:00:00+00:00,0.2296,mss_invalidation,-65.42664384151557,3
TRX,2025-02-26 16:00:00+00:00,0.2241,-1.0,0.1917992,0.2280704,22866.92628109895,3.0,0.9516823887825012,0.9516823887825012,False,8.14,2025-03-03 20:00:00+00:00,False,,,2025-02-27 04:00:00+00:00,0.2280704,sl,-434.8624084781264,3
ADA,2025-02-27 20:00:00+00:00,0.6451,1.0,0.7195987222744753,0.6164291367842649,22540.779474740353,3.0,0.948866605758667,0.948866605758667,False,2.6,2025-03-05 00:00:00+00:00,False,,,2025-02-28 00:00:00+00:00,0.6451,mss_invalidation,-29.303013317162456,3
SUI,2025-02-28 04:00:00+00:00,2.5746,1.0,2.989855877957926,2.414788608435493,15012.534809834988,2.0,0.8655004501342773,0.8655004501342773,False,2.6,2025-03-05 08:00:00+00:00,True,2.6625,2.631961125,2025-02-28 08:00:00+00:00,2.631961125,trailing_sl_hit,314.95736504154934,3
ICP,2025-02-28 08:00:00+00:00,6.18,1.0,7.2927857142857135,5.8832571428571425,5688.75505963341,1.0,0.8365758061408997,0.8365758061408997,False,3.75,2025-03-05 12:00:00+00:00,True,6.603,6.52726359,2025-03-01 04:00:00+00:00,6.52726359,trailing_sl_hit,312.26440881713046,3
TRX,2025-03-02 12:00:00+00:00,0.2394,-1.0,0.2182232,0.24200304285714286,15326.145696764326,2.0,0.8906853199005127,0.8906853199005127,False,8.14,2025-03-07 16:00:00+00:00,False,,,2025-03-02 16:00:00+00:00,0.2394,mss_invalidation,-19.923989405793623,3
LINK,2025-03-02 16:00:00+00:00,16.96,-1.0,13.548640000000002,17.379322857142856,38290.459255153575,5.0,0.9763405919075012,0.9763405919075012,False,8.14,2025-03-07 20:00:00+00:00,False,,,2025-03-02 20:00:00+00:00,17.379322857142856,sl,-996.479529589665,3
AVAX,2025-03-02 20:00:00+00:00,24.95,-1.0,20.78468,25.461999285714285,37044.859843166494,5.0,0.9766181707382202,0.9766181707382202,False,8.14,2025-03-08 00:00:00+00:00,True,23.93,24.204477100000002,2025-03-03 00:00:00+00:00,24.204477100000002,trailing_sl_hit,1058.7671868279692,3
TRX,2025-03-02 16:00:00+00:00,0.244,-1.0,0.2225348,0.24663849285714284,22974.275553092142,3.0,0.9462999105453491,0.9462999105453491,False,8.14,2025-03-07 20:00:00+00:00,True,0.2384,0.24113444800000003,2025-03-03 04:00:00+00:00,0.24113444800000003,trailing_sl_hit,239.94484038636344,3
