asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
UNI,2023-12-08 00:00:00+00:00,6.397,-1.0,5.464644,6.511604785714286,3833.079257159659,2.0,0.9001213312149048,0.9001213312149048,False,8.14,2023-12-13 04:00:00+00:00,2023-12-08 20:00:00+00:00,6.511604785714286,sl,-73.65413432907941,1
AVAX,2023-12-08 16:00:00+00:00,29.42,-1.0,22.48192,30.272825714285716,5665.070202773584,3.0,0.955247163772583,0.955247163772583,False,8.14,2023-12-13 20:00:00+00:00,2023-12-08 20:00:00+00:00,29.43,mss_invalidation,-9.290175968830832,1
AVAX,2023-12-08 20:00:00+00:00,30.44,-1.0,23.316519999999997,31.315615,9338.103283416918,5.0,0.9708057045936584,0.9708057045936584,False,8.14,2023-12-14 00:00:00+00:00,2023-12-09 00:00:00+00:00,30.44,mss_invalidation,-12.139534268441993,1
APT,2023-12-08 08:00:00+00:00,8.4373,-1.0,6.836638800000001,8.634052564285716,3769.949451334247,2.0,0.9132317304611206,0.9132317304611206,False,8.14,2023-12-13 12:00:00+00:00,2023-12-09 04:00:00+00:00,8.634052564285716,sl,-92.8137999875556,1
AVAX,2023-12-09 00:00:00+00:00,31.79,-1.0,24.781879999999997,32.651435,3729.1715462325465,2.0,0.9082555174827576,0.9082555174827576,False,8.14,2023-12-14 04:00:00+00:00,2023-12-09 04:00:00+00:00,31.79,mss_invalidation,-4.84792301010231,1
DOT,2023-12-09 00:00:00+00:00,7.413,1.0,8.048793381239593,7.168314661641713,0.0,0.0,0.7055823802947998,0.7055823802947998,False,2.6,2023-12-14 04:00:00+00:00,2023-12-09 20:00:00+00:00,7.168314661641713,sl,-0.0,1
FIL,2023-12-09 00:00:00+00:00,5.43,-1.0,4.546672000000001,5.37815,9322.928865581365,5.0,0.9857698678970337,0.9857698678970337,True,8.14,2023-12-14 04:00:00+00:00,2023-12-11 00:00:00+00:00,4.546672000000001,tp,1507.2892458998413,1
OP,2023-12-11 08:00:00+00:00,2.332,-1.0,1.6501399999999997,2.4158139285714286,11084.963269209096,5.0,0.9888705015182495,0.9888705015182495,False,8.14,2023-12-16 12:00:00+00:00,2023-12-12 00:00:00+00:00,2.4158139285714286,sl,-412.81281917210003,1
NEAR,2023-12-09 04:00:00+00:00,2.557,-1.0,2.0601279999999997,2.53445,5520.511027100577,3.0,0.9550580382347107,0.9550580382347107,True,8.14,2023-12-14 08:00:00+00:00,2023-12-14 08:00:00+00:00,2.314,time,519.1115498197667,1
ICP,2023-12-15 12:00:00+00:00,7.363,1.0,9.00775,7.5158000000000005,5048.026507133405,3.0,0.934230387210846,0.934230387210846,True,3.75,2023-12-20 16:00:00+00:00,2023-12-16 04:00:00+00:00,9.00775,tp,1122.5822325730871,1
